002119529 0248  L $$atrent-braunalexander$$dDUKEPLEAD
001671335 0248  L $$atrent-braytoncharlesepapers$$dDUKEPLEAD
002130260 0248  L $$atrent-breschetgpapers$$dDUKEPLEAD
002119530 0248  L $$atrent-brewsterdavidpapers$$dDUKEPLEAD
002119531 0248  L $$atrent-brighamamariah$$dDUKEPLEAD
002119532 0248  L $$atrent-brightrichardpapers$$dDUKEPLEAD
002119534 0248  L $$atrent-broadbentwh$$dDUKEPLEAD
002119535 0248  L $$atrent-brocapaulpapers$$dDUKEPLEAD
002119536 0248  L $$atrent-brodiebenjaminpapers$$dDUKEPLEAD
002119537 0248  L $$atrent-brooksjohndocument$$dDUKEPLEAD
002119538 0248  L $$atrent-brouardelp$$dDUKEPLEAD
002129193 0248  L $$atrent-broussaiscasimirannemarie$$dDUKEPLEAD
002130236 0248  L $$atrent-broussaisfjvpapers$$dDUKEPLEAD
002119539 0248  L $$atrent-brownbuckminster$$dDUKEPLEAD
002119540 0248  L $$atrent-browngeorgedocument$$dDUKEPLEAD
002119541 0248  L $$atrent-browngustavus$$dDUKEPLEAD
001605135 0248  L $$atrent-brownhoracemanchester$$dDUKEPLEAD
002119542 0248  L $$atrent-brownjohnpapers$$dDUKEPLEAD
002130237 0248  L $$atrent-brownrobert$$dDUKEPLEAD
002156029 0248  L $$atrent-brownsequardcharlesedouardpapers$$dDUKEPLEAD
002132130 0248  L $$atrent-buchanangeorge$$dDUKEPLEAD
002156026 0248  L $$atrent-buchanwilliampapers$$dDUKEPLEAD
002119543 0248  L $$atrent-buchezphilippejosephbenjamin$$dDUKEPLEAD
002119544 0248  L $$atrent-bullwilliamt$$dDUKEPLEAD
002039166 0248  L $$atrent-bumgarnerjohnr$$dDUKEPLEAD
002119548 0248  L $$atrent-burnettgeorge$$dDUKEPLEAD
002119545 0248  L $$atrent-burnhamwalter$$dDUKEPLEAD
002119546 0248  L $$atrent-burraaron$$dDUKEPLEAD
002119525 0248  L $$atrent-busseewaldw$$dDUKEPLEAD
002132131 0248  L $$atrent-cabanispjg$$dDUKEPLEAD
002132132 0248  L $$atrent-cabelljlpapers$$dDUKEPLEAD
002132133 0248  L $$atrent-cadellthomasletters$$dDUKEPLEAD
002156027 0248  L $$atrent-caldwellcharlesletters$$dDUKEPLEAD
002132134 0248  L $$atrent-campbellalexander$$dDUKEPLEAD
001618138 0248  L $$atrent-camperpetrus$$dDUKEPLEAD
002132135 0248  L $$atrent-cappelwilhelmfriedrich$$dDUKEPLEAD
002132136 0248  L $$atrent-carlylejohnaitkenletters$$dDUKEPLEAD
002132137 0248  L $$atrent-carnochanjmletters$$dDUKEPLEAD
002137044 0248  L $$atrent-carrojoannesde$$dDUKEPLEAD
002133845 0248  L $$atrent-caruscarlgustav$$dDUKEPLEAD
001618139 0248  L $$atrent-castellanialdoletters$$dDUKEPLEAD
002132142 0248  L $$atrent-castiglioniarturopapers$$dDUKEPLEAD
002132140 0248  L $$atrent-chancellorwilliamdocument$$dDUKEPLEAD
002132141 0248  L $$atrent-chantemesseandre$$dDUKEPLEAD
002132138 0248  L $$atrent-chapmannathanielpapers$$dDUKEPLEAD
002132139 0248  L $$atrent-chauncycharles$$dDUKEPLEAD
002169148 0248  L $$atrent-cheliusjm$$dDUKEPLEAD
004185772 0248  L $$atrent-childtheodore$$dDUKEPLEAD
002132143 0248  L $$atrent-chomelaf$$dDUKEPLEAD
002132144 0248  L $$atrent-choulantludwig$$dDUKEPLEAD
001618140 0248  L $$atrent-christiejohn$$dDUKEPLEAD
002132145 0248  L $$atrent-christiesamuela$$dDUKEPLEAD
002132146 0248  L $$atrent-christisonrobertpapers$$dDUKEPLEAD
002132147 0248  L $$atrent-churchwilliamselby$$dDUKEPLEAD
002132148 0248  L $$atrent-clarkandrewpapers$$dDUKEPLEAD
002132160 0248  L $$atrent-clarkearthur$$dDUKEPLEAD
002132161 0248  L $$atrent-clarkecharlesmansfield$$dDUKEPLEAD
002132149 0248  L $$atrent-clarkjamespapers$$dDUKEPLEAD
002132159 0248  L $$atrent-cleavelandparkerpapers$$dDUKEPLEAD
002132162 0248  L $$atrent-clinehenry$$dDUKEPLEAD
002132163 0248  L $$atrent-cloquetjulesdocument$$dDUKEPLEAD
002132164 0248  L $$atrent-coatesbenjaminhornor$$dDUKEPLEAD
002132165 0248  L $$atrent-coatesreynelldocument$$dDUKEPLEAD
002132175 0248  L $$atrent-cochranjohnpapers$$dDUKEPLEAD
002132167 0248  L $$atrent-coffinnathaniel$$dDUKEPLEAD
002132172 0248  L $$atrent-cogswellmasonfitch$$dDUKEPLEAD
002132166 0248  L $$atrent-coldencadwallader$$dDUKEPLEAD
002132168 0248  L $$atrent-collegiummedicochirurgicumberlingermanydocument$$dDUKEPLEAD
002156030 0248  L $$atrent-combegeorgepapers$$dDUKEPLEAD
002132170 0248  L $$atrent-condictlewis$$dDUKEPLEAD
002132169 0248  L $$atrent-coneebenezerdocument$$dDUKEPLEAD
002132171 0248  L $$atrent-cookedmundapapers$$dDUKEPLEAD
002196573 0248  L $$atrent-coolidgecalvin$$dDUKEPLEAD
001636222 0248  L $$atrent-cooperastley$$dDUKEPLEAD
002132173 0248  L $$atrent-costejeanfrancois$$dDUKEPLEAD
002132174 0248  L $$atrent-cotterilljosephmontagu$$dDUKEPLEAD
001618141 0248  L $$atrent-couchjohnw$$dDUKEPLEAD
002133837 0248  L $$atrent-cowlesedward$$dDUKEPLEAD
001618142 0248  L $$atrent-coxfa$$dDUKEPLEAD
002133838 0248  L $$atrent-craigarchibald$$dDUKEPLEAD
002133839 0248  L $$atrent-craikjamesdocument$$dDUKEPLEAD
002148007 0248  L $$atrent-crammerwilliam$$dDUKEPLEAD
001618143 0248  L $$atrent-crilegeorgewashington$$dDUKEPLEAD
002133840 0248  L $$atrent-crosbydixidocument$$dDUKEPLEAD
001618144 0248  L $$atrent-crummerleroypapers$$dDUKEPLEAD
001697293 0248  L $$atrent-cruseronorcarveron$$dDUKEPLEAD
002156025 0248  L $$atrent-cruveilhierjpapers$$dDUKEPLEAD
002133841 0248  L $$atrent-cullenwilliampapers$$dDUKEPLEAD
002133842 0248  L $$atrent-curtisalvadocument$$dDUKEPLEAD
002133843 0248  L $$atrent-curtishholbrook$$dDUKEPLEAD
002133844 0248  L $$atrent-curtisjohnharrison$$dDUKEPLEAD
002133846 0248  L $$atrent-curtisjosiah$$dDUKEPLEAD
002133847 0248  L $$atrent-cutbushedwardpapers$$dDUKEPLEAD
002133851 0248  L $$atrent-dallingerwh$$dDUKEPLEAD
002133852 0248  L $$atrent-dannejacquespapers$$dDUKEPLEAD
002133853 0248  L $$atrent-darwincharlespapers$$dDUKEPLEAD
002133854 0248  L $$atrent-darwinerasmus$$dDUKEPLEAD
002133855 0248  L $$atrent-darwinfrancissacheverelldocument$$dDUKEPLEAD
002133856 0248  L $$atrent-davidsonjamespapers$$dDUKEPLEAD
002133857 0248  L $$atrent-daviscarlhenry$$dDUKEPLEAD
003956850 0248  L $$atrent-davisricharda$$dDUKEPLEAD
002133859 0248  L $$atrent-davyhumphrypapers$$dDUKEPLEAD
002133860 0248  L $$atrent-dawkinswilliamboydpapers$$dDUKEPLEAD
002133861 0248  L $$atrent-dawsonjohnwilliam$$dDUKEPLEAD
002137043 0248  L $$atrent-dechambreamedeepapers$$dDUKEPLEAD
001636224 0248  L $$atrent-deferejdocument$$dDUKEPLEAD
002147956 0248  L $$atrent-delafieldedward$$dDUKEPLEAD
002138367 0248  L $$atrent-demarquayjn$$dDUKEPLEAD
002133865 0248  L $$atrent-demoursantoinepierredocument$$dDUKEPLEAD
002133864 0248  L $$atrent-derhamwpapers$$dDUKEPLEAD
001636223 0248  L $$atrent-desaultpj$$dDUKEPLEAD
002133867 0248  L $$atrent-devezejean$$dDUKEPLEAD
002137046 0248  L $$atrent-dickenscharles$$dDUKEPLEAD
002160530 0248  L $$atrent-dickreadgrantlypapers$$dDUKEPLEAD
002137047 0248  L $$atrent-dieffenbachjohannfriedrich$$dDUKEPLEAD
002137048 0248  L $$atrent-dieulafoygeorgespapers$$dDUKEPLEAD
002137049 0248  L $$atrent-dixdorothealyndepapers$$dDUKEPLEAD
002137050 0248  L $$atrent-doanegeorgebpapers$$dDUKEPLEAD
002138364 0248  L $$atrent-dodgejamesrdocument$$dDUKEPLEAD
002137051 0248  L $$atrent-domagkgerhardpapers$$dDUKEPLEAD
002137052 0248  L $$atrent-doremusrobertogden$$dDUKEPLEAD
002137079 0248  L $$atrent-downmanhughpapers$$dDUKEPLEAD
001646079 0248  L $$atrent-drakebenjamin$$dDUKEPLEAD
002137053 0248  L $$atrent-drakedanielpapers$$dDUKEPLEAD
002137091 0248  L $$atrent-draperjohnwilliam$$dDUKEPLEAD
001646080 0248  L $$atrent-dreyslaure$$dDUKEPLEAD
002137054 0248  L $$atrent-duboisa$$dDUKEPLEAD
001636225 0248  L $$atrent-duboisantoinepapers$$dDUKEPLEAD
002137055 0248  L $$atrent-dubosrenej$$dDUKEPLEAD
002137056 0248  L $$atrent-duchennegbpapers$$dDUKEPLEAD
002137057 0248  L $$atrent-dudleybenjaminwpapers$$dDUKEPLEAD
001609249 0248  L $$atrent-dujardinbeaumetz$$dDUKEPLEAD
002147957 0248  L $$atrent-dumerilaugustehenriandre$$dDUKEPLEAD
002137092 0248  L $$atrent-duncanandrew$$dDUKEPLEAD
001658322 0248  L $$atrent-duncang$$dDUKEPLEAD
002137095 0248  L $$atrent-duncanjamesmathews$$dDUKEPLEAD
002137059 0248  L $$atrent-dunglisonrobleypapers$$dDUKEPLEAD
002137058 0248  L $$atrent-dupuytrenguillaume$$dDUKEPLEAD
002137060 0248  L $$atrent-durantedwarddocument$$dDUKEPLEAD
001636226 0248  L $$atrent-dutrochethenri$$dDUKEPLEAD
002147959 0248  L $$atrent-earleplinypapers$$dDUKEPLEAD
002169132 0248  L $$atrent-eastlakecharleslock$$dDUKEPLEAD
002137062 0248  L $$atrent-eatonamospapers$$dDUKEPLEAD
002137061 0248  L $$atrent-eberlejohn$$dDUKEPLEAD
002143891 0248  L $$atrent-edwardaugustus$$dDUKEPLEAD
002137068 0248  L $$atrent-ehrmannjohannchristianpapers$$dDUKEPLEAD
001636230 0248  L $$atrent-einhornmaxletters$$dDUKEPLEAD
002169149 0248  L $$atrent-eiselsberganton$$dDUKEPLEAD
002137070 0248  L $$atrent-elwynalfredlangdon$$dDUKEPLEAD
002137072 0248  L $$atrent-emersongpapers$$dDUKEPLEAD
002147958 0248  L $$atrent-emmetrobert$$dDUKEPLEAD
002143886 0248  L $$atrent-emmetthomasaddis$$dDUKEPLEAD
002137074 0248  L $$atrent-engelmanngeorge$$dDUKEPLEAD
002137076 0248  L $$atrent-esquiroletiennedocument$$dDUKEPLEAD
001636227 0248  L $$atrent-eustachibartolomeo$$dDUKEPLEAD
002138366 0248  L $$atrent-eustiswilliam$$dDUKEPLEAD
002137077 0248  L $$atrent-evepaulf$$dDUKEPLEAD
002137097 0248  L $$atrent-ewartjc$$dDUKEPLEAD
002137083 0248  L $$atrent-faurejlpapers$$dDUKEPLEAD
002137085 0248  L $$atrent-fayrerjosephpapers$$dDUKEPLEAD
002137087 0248  L $$atrent-fechnergustavtheodor$$dDUKEPLEAD
002137089 0248  L $$atrent-fereollouisfelixhenrisecond$$dDUKEPLEAD
001646082 0248  L $$atrent-fergusonwilliam$$dDUKEPLEAD
002137099 0248  L $$atrent-fergussonwilliampapers$$dDUKEPLEAD
