original_term	cleaned_term	term_type	eadid_term_source
History of Medicine Collections (Duke University)	new_term	corpname	trent-coatesbenjaminhornor
History of Medicine Collections (Duke University)	new_term	corpname	trent-coatesreynell
Warren, John, 1753-1815	new_term	persname	trent-cochranjohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-cochranjohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-coffinnathaniel
History of Medicine Collections (Duke University)	new_term	corpname	trent-cogswellmasonfitch
Franklin, Benjamin, 1706-1790	new_term	persname	trent-coldencadwallader
Kalm, Per, 1716-1779	new_term	persname	trent-coldencadwallader
Linne, Carl von, 1707-1778	new_term	persname	trent-coldencadwallader
History of Medicine Collections (Duke University)	new_term	corpname	trent-coldencadwallader
Collegium Medico-Chirurgicum (Berlin, Germany)	new_term	corpname	trent-collegiummedicochirurgicumberlingermany
History of Medicine Collections (Duke University)	new_term	corpname	trent-collegiummedicochirurgicumberlingermany
Phrenology	new_term	subject	trent-combegeorge
Spurzheim, J. G. (Johann Gaspar), 1776-1832	new_term	persname	trent-combegeorge
History of Medicine Collections (Duke University)	new_term	corpname	trent-combegeorge
History of Medicine Collections (Duke University)	new_term	corpname	trent-condictlewis
History of Medicine Collections (Duke University)	new_term	corpname	trent-condictlewis
United States. President (1829-1837 : Jackson)	new_term	corpname	trent-condictlewis
History of Medicine Collections (Duke University)	new_term	corpname	trent-coneebenezer
History of Medicine Collections (Duke University)	new_term	corpname	trent-cookedmunda
History of Medicine Collections (Duke University)	new_term	corpname	trent-coolidgecalvin
Halford, Henry, Sir, bart., 1766-1844	new_term	persname	trent-cooperastley
Ingles, John, 1766-1836	new_term	persname	trent-cooperastley
Kidd, John, 1775-1851	new_term	persname	trent-cooperastley
Lawrence, William, Sir, 1783-1867	new_term	persname	trent-cooperastley
Lever, John Charles Weaver, 1811-1858	new_term	persname	trent-cooperastley
Marcet, Alexander, 1770-1822	new_term	persname	trent-cooperastley
Monro, Alexander, 1773-1859	new_term	persname	trent-cooperastley
Travers, Benjamin, 1783-1858	new_term	persname	trent-cooperastley
History of Medicine Collections (Duke University)	new_term	corpname	trent-cooperastley
Military Medicine	new_term	subject	trent-costejeanfrancois
History of Medicine Collections (Duke University)	new_term	corpname	trent-costejeanfrancois
History of Medicine Collections (Duke University)	new_term	corpname	trent-cotterilljosephmontagu
History of Medicine Collections (Duke University)	new_term	corpname	trent-couchjohnw
History of Medicine Collections (Duke University)	new_term	corpname	trent-cowlesedward
History of Medicine Collections (Duke University)	new_term	corpname	trent-coxfa
History of Medicine Collections (Duke University)	new_term	corpname	trent-craigarchibald
History of Medicine Collections (Duke University)	new_term	corpname	trent-craikjames
History of Medicine Collections (Duke University)	new_term	corpname	trent-crammerwilliam
Brown, Lawrason, 1871-1937	new_term	persname	trent-crilegeorgewashington
Adirondack Cottage Sanitarium (Saranac Lake, N.Y.)	new_term	corpname	trent-crilegeorgewashington
History of Medicine Collections (Duke University)	new_term	corpname	trent-crilegeorgewashington
History of Medicine Collections (Duke University)	new_term	corpname	trent-crosbydixi
Cushing, Harvey, 1869-1939	new_term	persname	trent-crummerleroy
Spielmann, M. H. (Marion Harry), 1858-1948	new_term	persname	trent-crummerleroy
Vesalius, Andreas, 1514-1564	new_term	persname	trent-crummerleroy
History of Medicine Collections (Duke University)	new_term	corpname	trent-crummerleroy
History of Medicine Collections (Duke University)	new_term	corpname	trent-cruseronorcarveron
History of Medicine Collections (Duke University)	new_term	corpname	trent-cruveilhierj
History of Medicine Collections (Duke University)	new_term	corpname	trent-cullenwilliam
History of Medicine Collections (Duke University)	new_term	corpname	trent-curtisalva
History of Medicine Collections (Duke University)	new_term	corpname	trent-curtishholbrook
History of Medicine Collections (Duke University)	new_term	corpname	trent-curtisjohnharrison
History of Medicine Collections (Duke University)	new_term	corpname	trent-curtisjosiah
Cutbush, James, 1788-1823	new_term	persname	trent-cutbushedward
History of Medicine Collections (Duke University)	new_term	corpname	trent-cutbushedward
History of Medicine Collections (Duke University)	new_term	corpname	trent-dallingerwh
History of Medicine Collections (Duke University)	new_term	corpname	trent-dannejacques
Jenner, Edward, 1749-1823	new_term	persname	trent-darwincharles
Rolleston, George, 1829-1881	new_term	persname	trent-darwincharles
Wallace, Alfred Russel, 1823-1913	new_term	persname	trent-darwincharles
History of Medicine Collections (Duke University)	new_term	corpname	trent-darwincharles
History of Medicine Collections (Duke University)	new_term	corpname	trent-darwinerasmus
History of Medicine Collections (Duke University)	new_term	corpname	trent-darwinfrancissacheverell
History of Medicine Collections (Duke University)	new_term	corpname	trent-davidsonjames
Obstetrics	new_term	subject	trent-daviscarlhenry
History of Medicine Collections (Duke University)	new_term	corpname	trent-daviscarlhenry
History of Medicine Collections (Duke University)	new_term	corpname	trent-davisricharda
History of Medicine Collections (Duke University)	new_term	corpname	trent-davyhumphry
History of Medicine Collections (Duke University)	new_term	corpname	trent-dawkinswilliamboyd
Torrey, John, 1796-1873	new_term	persname	trent-dawsonjohnwilliam
History of Medicine Collections (Duke University)	new_term	corpname	trent-dawsonjohnwilliam
Bouchard, Ch. (Charles), 1837-1915	new_term	persname	trent-dechambreamedee
Brouardel, P. (Paul), 1837-1906	new_term	persname	trent-dechambreamedee
History of Medicine Collections (Duke University)	new_term	corpname	trent-dechambreamedee
Confidentiality	new_term	subject	trent-deferej
Ethics, Medical	new_term	subject	trent-deferej
Insurance, Health	new_term	subject	trent-deferej
History of Medicine Collections (Duke University)	new_term	corpname	trent-deferej
History of Medicine Collections (Duke University)	new_term	corpname	trent-delafieldedward
History of Medicine Collections (Duke University)	new_term	corpname	trent-demarquayjn
History of Medicine Collections (Duke University)	new_term	corpname	trent-demoursantoinepierre
Halley, Edmund, 1656-1742	new_term	persname	trent-derhamw
Hooke, Robert, 1635-1703	new_term	persname	trent-derhamw
Sloane, Hans, Sir, 1660-1753	new_term	persname	trent-derhamw
History of Medicine Collections (Duke University)	new_term	corpname	trent-derhamw
Obstetrics	new_term	subject	trent-desaultpj
Symphysiotomy	new_term	subject	trent-desaultpj
Cesarean Section	new_term	subject	trent-desaultpj
History of Medicine Collections (Duke University)	new_term	corpname	trent-desaultpj
Yellow Fever	new_term	subject	trent-devezejean
History of Medicine Collections (Duke University)	new_term	corpname	trent-devezejean
Dickens, Catherine, 1815-1879	new_term	persname	trent-dickenscharles
History of Medicine Collections (Duke University)	new_term	corpname	trent-dickenscharles
History of Medicine Collections (Duke University)	new_term	corpname	trent-dickreadgrantly
History of Medicine Collections (Duke University)	new_term	corpname	trent-dieffenbachjohannfriedrich
History of Medicine Collections (Duke University)	new_term	corpname	trent-dieulafoygeorges
History of Medicine Collections (Duke University)	new_term	corpname	trent-dixdorothealynde
History of Medicine Collections (Duke University)	new_term	corpname	trent-doanegeorgeb
History of Medicine Collections (Duke University)	new_term	corpname	trent-dodgejamesr
History of Medicine Collections (Duke University)	new_term	corpname	trent-domagkgerhard
History of Medicine Collections (Duke University)	new_term	corpname	trent-doremusrobertogden
History of Medicine Collections (Duke University)	new_term	corpname	trent-downmanhugh
History of Medicine Collections (Duke University)	new_term	corpname	trent-drakebenjamin
Smith, B. B. (Benjamin Bosworth), 1794-1884	new_term	persname	trent-drakedaniel
History of Medicine Collections (Duke University)	new_term	corpname	trent-drakedaniel
History of Medicine Collections (Duke University)	new_term	corpname	trent-draperjohnwilliam
Sanson, Alphonse, 1795-1873	new_term	persname	trent-dreyslaure
History of Medicine Collections (Duke University)	new_term	corpname	trent-dreyslaure
History of Medicine Collections (Duke University)	new_term	corpname	trent-duboisa
History of Medicine Collections (Duke University)	new_term	corpname	trent-duboisantoine
History of Medicine Collections (Duke University)	new_term	corpname	trent-dubosrenej
History of Medicine Collections (Duke University)	new_term	corpname	trent-duchennegb
History of Medicine Collections (Duke University)	new_term	corpname	trent-dudleybenjaminw
History of Medicine Collections (Duke University)	new_term	corpname	trent-dujardinbeaumetz
History of Medicine Collections (Duke University)	new_term	corpname	trent-dumerilaugustehenriandre
History of Medicine Collections (Duke University)	new_term	corpname	trent-duncanandrew
History of Medicine Collections (Duke University)	new_term	corpname	trent-duncang
History of Medicine Collections (Duke University)	new_term	corpname	trent-duncanjamesmathews
History of Medicine Collections (Duke University)	new_term	corpname	trent-dunglisonrobley
Marx, Edmond, 1797-1865	new_term	persname	trent-dupuytrenguillaume
History of Medicine Collections (Duke University)	new_term	corpname	trent-dupuytrenguillaume
History of Medicine Collections (Duke University)	new_term	corpname	trent-durantedward
Becquerel, (Antoine Cesar), M. 1788-1878	new_term	persname	trent-dutrochethenri
Geoffroy Saint-Hilaire, Isidore, 1805-1861	new_term	persname	trent-dutrochethenri
History of Medicine Collections (Duke University)	new_term	corpname	trent-dutrochethenri
Agassiz, Louis, 1807-1873	new_term	persname	trent-earlepliny
Gallaudet, T. H. (Thomas Hopkins), 1787-1851	new_term	persname	trent-earlepliny
History of Medicine Collections (Duke University)	new_term	corpname	trent-earlepliny
Jenner, Edward, 1749-1823	new_term	persname	trent-eastlakecharleslock
History of Medicine Collections (Duke University)	new_term	corpname	trent-eastlakecharleslock
History of Medicine Collections (Duke University)	new_term	corpname	trent-eatonamos
History of Medicine Collections (Duke University)	new_term	corpname	trent-eberlejohn
Vaccination	new_term	subject	trent-edwardaugustus
History of Medicine Collections (Duke University)	new_term	corpname	trent-edwardaugustus
History of Medicine Collections (Duke University)	new_term	corpname	trent-ehrmannjohannchristian
Goldstein, Hyman, 1909-	new_term	persname	trent-einhornmax
History of Medicine Collections (Duke University)	new_term	corpname	trent-einhornmax
History of Medicine Collections (Duke University)	new_term	corpname	trent-eiselsberganton
Morris, Robert, 1734-1806	new_term	persname	trent-elwynalfredlangdon
History of Medicine Collections (Duke University)	new_term	corpname	trent-elwynalfredlangdon
Carey, Mathew, 1760-1839	new_term	persname	trent-emersong
Girard, Stephen, 1750-1831	new_term	persname	trent-emersong
Hopkinson, Joseph, 1770-1842	new_term	persname	trent-emersong
Morton, Samuel George, 1799-1851	new_term	persname	trent-emersong
Physick, Philip Syng, 1768-1837	new_term	persname	trent-emersong
Rush, Benjamin, 1746-1813	new_term	persname	trent-emersong
History of Medicine Collections (Duke University)	new_term	corpname	trent-emersong
History of Medicine Collections (Duke University)	new_term	corpname	trent-emmetrobert
History of Medicine Collections (Duke University)	new_term	corpname	trent-emmetthomasaddis
History of Medicine Collections (Duke University)	new_term	corpname	trent-engelmanngeorge
History of Medicine Collections (Duke University)	new_term	corpname	trent-esquiroletienne
History of Medicine Collections (Duke University)	new_term	corpname	trent-eustachibartolomeo
History of Medicine Collections (Duke University)	new_term	corpname	trent-eustiswilliam
History of Medicine Collections (Duke University)	new_term	corpname	trent-evepaulf
History of Medicine Collections (Duke University)	new_term	corpname	trent-ewartjc
History of Medicine Collections (Duke University)	new_term	corpname	trent-faurejl
Fayrer, Joseph, Sir, 1824-1907	new_term	persname	trent-fayrerjoseph
History of Medicine Collections (Duke University)	new_term	corpname	trent-fayrerjoseph
History of Medicine Collections (Duke University)	new_term	corpname	trent-fechnergustavtheodor
History of Medicine Collections (Duke University)	new_term	corpname	trent-fereollouisfelixhenrisecond
History of Medicine Collections (Duke University)	new_term	corpname	trent-fergusonwilliam
History of Medicine Collections (Duke University)	new_term	corpname	trent-fergussonwilliam
History of Medicine Collections (Duke University)	new_term	corpname	trent-ferrierdavid
Pinel, Philippe, 1745-1826	new_term	persname	trent-ferrusgma
History of Medicine Collections (Duke University)	new_term	corpname	trent-ferrusgma
Burr, Aaron, 1756-1836	new_term	persname	trent-finleyjamesb
History of Medicine Collections (Duke University)	new_term	corpname	trent-finleyjamesb
Correspondence as Topic	new_term	subject	trent-finsennielsr
History of Medicine Collections (Duke University)	new_term	corpname	trent-finsennielsr
Parry, William Edward, Sir, 1790-1855	new_term	persname	trent-fisheralexander
History of Medicine Collections (Duke University)	new_term	corpname	trent-fisheralexander
History of Medicine Collections (Duke University)	new_term	corpname	trent-fishhenry
History of Medicine Collections (Duke University)	new_term	corpname	trent-fiverokepeter
History of Medicine Collections (Duke University)	new_term	corpname	trent-flintaustin
History of Medicine Collections (Duke University)	new_term	corpname	trent-flourensp
History of Medicine Collections (Duke University)	new_term	corpname	trent-footjesse
Negroid Race	new_term	subject	trent-forwoodwstump
African Americans -- United States -- History	new_term	subject	trent-forwoodwstump
History of Medicine Collections (Duke University)	new_term	corpname	trent-forwoodwstump
United States -- History -- Civil War, 1861-1865	new_term	geogname	trent-forwoodwstump
History	new_term	genreform	trent-forwoodwstump
History of Medicine Collections (Duke University)	new_term	corpname	trent-fothergilljohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-foucaultleon
History of Medicine Collections (Duke University)	new_term	corpname	trent-fourierjeanbaptistejoseph
Phrenology -- Case Reports	new_term	subject	trent-fowlerln
Phrenology -- Manuscripts	new_term	subject	trent-fowlerln
Sawyer, Emily	new_term	persname	trent-fowlerln
History of Medicine Collections (Duke University)	new_term	corpname	trent-fowlerln
History of Medicine Collections (Duke University)	new_term	corpname	trent-fraenkelludwig
History of Medicine Collections (Duke University)	new_term	corpname	trent-francisjohnw
Franklin, William, 1731-1813	new_term	persname	trent-franklinbenjamin
Potts, Jonathan, 1745-1781	new_term	persname	trent-franklinbenjamin
Rush, Benjamin, 1746-1813	new_term	persname	trent-franklinbenjamin
History of Medicine Collections (Duke University)	new_term	corpname	trent-franklinbenjamin
History of Medicine Collections (Duke University)	new_term	corpname	trent-freelandjames
History of Medicine Collections (Duke University)	new_term	corpname	trent-frerichsfriedrichtheodor
History of Medicine Collections (Duke University)	new_term	corpname	trent-fryelizabethgurney
Military Medicine	new_term	subject	trent-gagehomer
Pleadwell, Frank Lester, 1872-1957	new_term	persname	trent-gagehomer
History of Medicine Collections (Duke University)	new_term	corpname	trent-gagehomer
History of Medicine Collections (Duke University)	new_term	corpname	trent-gannettcaleb
History of Medicine Collections (Duke University)	new_term	corpname	trent-gardinersilvester
Bryant, William Cullen, 1794-1878	new_term	persname	trent-garretsonjamesedmund
History of Medicine Collections (Duke University)	new_term	corpname	trent-garretsonjamesedmund
Garrison, Fielding H. (Fielding Hudson), 1870-1935	new_term	persname	trent-garrisonfieldingh
Lee, Frederic S. (Frederic Schiller), 1859-1939	new_term	persname	trent-garrisonfieldingh
Pilcher, Lewis Stephen, 1845-1934	new_term	persname	trent-garrisonfieldingh
History of Medicine Collections (Duke University)	new_term	corpname	trent-garrisonfieldingh
History of Medicine Collections (Duke University)	new_term	corpname	trent-gerbier
History of Medicine Collections (Duke University)	new_term	corpname	trent-gibbesrobertw
History of Medicine Collections (Duke University)	new_term	corpname	trent-gibsonwilliam
History of Medicine Collections (Duke University)	new_term	corpname	trent-gilbertdavid
History of Medicine Collections (Duke University)	new_term	corpname	trent-gilbertludwigwilhelm
Bookplates as Topic	new_term	subject	trent-ginsberglouis
Gingsberg, Louis 1895-1976	new_term	persname	trent-ginsberglouis
History of Medicine Collections (Duke University)	new_term	corpname	trent-ginsberglouis
History of Medicine Collections (Duke University)	new_term	corpname	trent-girardj
History of Medicine Collections (Duke University)	new_term	corpname	trent-giraudycharlesfrancoiss
History of Medicine Collections (Duke University)	new_term	corpname	trent-glentworththomas
History of Medicine Collections (Duke University)	new_term	corpname	trent-goiffonjeanbaptiste
Leprosy	new_term	subject	trent-goodhuees
History of Medicine Collections (Duke University)	new_term	corpname	trent-goodhuees
History of Medicine Collections (Duke University)	new_term	corpname	trent-goodjohnmason
History of Medicine Collections (Duke University)	new_term	corpname	trent-goodsamuel
History of Medicine Collections (Duke University)	new_term	corpname	trent-goodsonjohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-gosselinathanaseleon
History of Medicine Collections (Duke University)	new_term	corpname	trent-goudareaujmc
History of Medicine Collections (Duke University)	new_term	corpname	trent-gouldaugustusa
History of Medicine Collections (Duke University)	new_term	corpname	trent-greelyaw
History of Medicine Collections (Duke University)	new_term	corpname	trent-greensamuela
Ventilation	new_term	subject	trent-grenfellwilfredthomason
Lee, Frederic S. (Frederic Schiller), 1859-	new_term	persname	trent-grenfellwilfredthomason
History of Medicine Collections (Duke University)	new_term	corpname	trent-grenfellwilfredthomason
History of Medicine Collections (Duke University)	new_term	corpname	trent-griggslee
History of Medicine Collections (Duke University)	new_term	corpname	trent-grisolleaugustin
History of Medicine Collections (Duke University)	new_term	corpname	trent-guepinangemariefrancois
Davy, John, 1790-1868	new_term	persname	trent-gullivergeorge
History of Medicine Collections (Duke University)	new_term	corpname	trent-gullivergeorge
History of Medicine Collections (Duke University)	new_term	corpname	trent-gullwilliamwithey
History of Medicine Collections (Duke University)	new_term	corpname	trent-gullyjamesmanby
Withering, William, 1741-1799	new_term	persname	trent-gunnjamesandrew
History of Medicine Collections (Duke University)	new_term	corpname	trent-gunnjamesandrew
History of Medicine Collections (Duke University)	new_term	corpname	trent-guthriegj
Mercury	new_term	subject	trent-hackettceciljohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-hackettceciljohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-hackettcw
Homeopathy	new_term	subject	trent-hahnemannsamuel
History of Medicine Collections (Duke University)	new_term	corpname	trent-hahnemannsamuel
History of Medicine Collections (Duke University)	new_term	corpname	trent-halerichard
History of Medicine Collections (Duke University)	new_term	corpname	trent-halfordhenry
History of Medicine Collections (Duke University)	new_term	corpname	trent-halleralbrechtvon
History of Medicine Collections (Duke University)	new_term	corpname	trent-hallidayandrew
History of Medicine Collections (Duke University)	new_term	corpname	trent-halljames
History of Medicine Collections (Duke University)	new_term	corpname	trent-halllarryg
Mitchell, S. Weir (Silas Weir), 1829-1914	new_term	persname	trent-hammondwilliama
History of Medicine Collections (Duke University)	new_term	corpname	trent-hammondwilliama
History of Medicine Collections (Duke University)	new_term	corpname	trent-hareldutancrelaugustin
Waln, Robert, 1794-1825	new_term	persname	trent-harerobert
History of Medicine Collections (Duke University)	new_term	corpname	trent-harerobert
History of Medicine Collections (Duke University)	new_term	corpname	trent-harleyjohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-harrellgeorget
History of Medicine Collections (Duke University)	new_term	corpname	trent-harrisgeorge
History of Medicine Collections (Duke University)	new_term	corpname	trent-harristhaddeusmason
History of Medicine Collections (Duke University)	new_term	corpname	trent-harristhaddeuswilliam
History of Medicine Collections (Duke University)	new_term	corpname	trent-harristhomas
Hamilton, Alexander, 1712-1756	new_term	persname	trent-hartalbertbushnell
History of Medicine Collections (Duke University)	new_term	corpname	trent-hartalbertbushnell
History of Medicine Collections (Duke University)	new_term	corpname	trent-harternestabraham
History of Medicine Collections (Duke University)	new_term	corpname	trent-hartshornedavid
History of Medicine Collections (Duke University)	new_term	corpname	trent-harveywilliam
Markland, Jeremiah, 1693-1776	new_term	persname	trent-heberdenwilliam
History of Medicine Collections (Duke University)	new_term	corpname	trent-heberdenwilliam
History of Medicine Collections (Duke University)	new_term	corpname	trent-helmholtzhermannvon
History of Medicine Collections (Duke University)	new_term	corpname	trent-henrywilliam
Buckland, William, 1784-1856	new_term	persname	trent-henrywilliam
Phillips, William, 1775-1828	new_term	persname	trent-henrywilliam
History of Medicine Collections (Duke University)	new_term	corpname	trent-henrywilliam
History of Medicine Collections (Duke University)	new_term	corpname	trent-henslowjs
Reeve, Henry, 1813-1895	new_term	persname	trent-herbertofleasidneyherbert
History of Medicine Collections (Duke University)	new_term	corpname	trent-herbertofleasidneyherbert
History of Medicine Collections (Duke University)	new_term	corpname	trent-herrgeorges
History of Medicine Collections (Duke University)	new_term	corpname	trent-herseyezekiel
History of Medicine Collections (Duke University)	new_term	corpname	trent-heurteloupnicolas
History of Medicine Collections (Duke University)	new_term	corpname	trent-hibbertsamuel
Vaccination -- History	new_term	subject	trent-hicksh
Jenner, Edward, 1749-1823	new_term	persname	trent-hicksh
Lettsom, John Coakley, 1744-1815	new_term	persname	trent-hicksh
History of Medicine Collections (Duke University)	new_term	corpname	trent-hicksh
History of Medicine Collections (Duke University)	new_term	corpname	trent-hincksthomasshawkesford
History of Medicine Collections (Duke University)	new_term	corpname	trent-hitchcockedward
History of Medicine Collections (Duke University)	new_term	corpname	trent-hodgehughl
History of Medicine Collections (Duke University)	new_term	corpname	trent-hodgkinthomas
History of Medicine Collections (Duke University)	new_term	corpname	trent-hollandhenry
History of Medicine Collections (Duke University)	new_term	corpname	trent-holmesoliverwendell
History of Medicine Collections (Duke University)	new_term	corpname	trent-holyokeedwardaugustus
History of Medicine Collections (Duke University)	new_term	corpname	trent-homeeverard
History of Medicine Collections (Duke University)	new_term	corpname	trent-hornerkatez
Physick, Philip Syng, 1768-1837	new_term	persname	trent-hornerwilliame
Wistar, Caspar, 1761-1818	new_term	persname	trent-hornerwilliame
History of Medicine Collections (Duke University)	new_term	corpname	trent-hornerwilliame
History of Medicine Collections (Duke University)	new_term	corpname	trent-horsleyvictor
History of Medicine Collections (Duke University)	new_term	corpname	trent-horsleywilliam
History of Medicine Collections (Duke University)	new_term	corpname	trent-hosackdavid
History of Medicine Collections (Duke University)	new_term	corpname	trent-houghjohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-howesg
History of Medicine Collections (Duke University)	new_term	corpname	trent-huchardh
Syphilis	new_term	subject	trent-hudsonellisherndon
Mercury	new_term	subject	trent-hudsonellisherndon
Goldwater, Leonard J. (Leonard John), 1903-	new_term	persname	trent-hudsonellisherndon
Hudson, Ellis Herndon, 1890-	new_term	persname	trent-hudsonellisherndon
History of Medicine Collections (Duke University)	new_term	corpname	trent-hudsonellisherndon
History of Medicine Collections (Duke University)	new_term	corpname	trent-hughesthomas
General stores -- Economic aspects	new_term	subject	trent-hughesthomas
Drugstores	new_term	subject	trent-hughesthomas
History of Medicine Collections (Duke University)	new_term	corpname	trent-hughesthomas
History of Medicine Collections (Duke University)	new_term	corpname	trent-humboldtalexandervon
History of Medicine Collections (Duke University)	new_term	corpname	trent-humphreyasahel
History of Medicine Collections (Duke University)	new_term	corpname	trent-hunterjohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-huntharriotkesia
History of Medicine Collections (Duke University)	new_term	corpname	trent-huxleythomashenry
Crittenden, John J. (John Jordan), 1787-1863	new_term	persname	trent-hydewilliam
History of Medicine Collections (Duke University)	new_term	corpname	trent-hydewilliam
United States -- History -- Civil War, 1861-1865	new_term	geogname	trent-hydewilliam
History of Medicine Collections (Duke University)	new_term	corpname	trent-hydewilliam
Mercer, Hugh, ca. 1725-1777	new_term	persname	trent-innesjames
History of Medicine Collections (Duke University)	new_term	corpname	trent-innesjames
Bigelow, Henry Jacob, 1818-1890	new_term	persname	trent-jacksoncharlest
Bowditch, N. I. (Nathaniel Ingersoll), 1805-1861	new_term	persname	trent-jacksoncharlest
Morton, W. T. G. (William Thomas Green), 1819-1868	new_term	persname	trent-jacksoncharlest
History of Medicine Collections (Duke University)	new_term	corpname	trent-jacksoncharlest
History of Medicine Collections (Duke University)	new_term	corpname	trent-jacksonhall
History of Medicine Collections (Duke University)	new_term	corpname	trent-jacksonjames
History of Medicine Collections (Duke University)	new_term	corpname	trent-jacobimaryputnam
History of Medicine Collections (Duke University)	new_term	corpname	trent-jamesonrobert
History of Medicine Collections (Duke University)	new_term	corpname	trent-jayjames
History of Medicine Collections (Duke University)	new_term	corpname	trent-jeffersongeoffrey
History of Medicine Collections (Duke University)	new_term	corpname	trent-jeffersonthomas
History of Medicine Collections (Duke University)	new_term	corpname	trent-jeffriesjohn
Vaccination	new_term	subject	trent-jennerhenry
History of Medicine Collections (Duke University)	new_term	corpname	trent-jennerhenry
History of Medicine Collections (Duke University)	new_term	corpname	trent-jennerwilliam
History of Medicine Collections (Duke University)	new_term	corpname	trent-jennisontimothylindall
History of Medicine Collections (Duke University)	new_term	corpname	trent-jexblakesophia
History of Medicine Collections (Duke University)	new_term	corpname	trent-jobertantoinejoseph
History of Medicine Collections (Duke University)	new_term	corpname	trent-jonesbence
History of Medicine Collections (Duke University)	new_term	corpname	trent-jonesjoseph
History of Medicine Collections (Duke University)	new_term	corpname	trent-jussieuantoinelaurentde
Grinnell, Henry, 1799-1874	new_term	persname	trent-kaneelishakent
History of Medicine Collections (Duke University)	new_term	corpname	trent-kaneelishakent
Yellow Fever	new_term	subject	trent-keatethomas
History of Medicine Collections (Duke University)	new_term	corpname	trent-keatethomas
History of Medicine Collections (Duke University)	new_term	corpname	trent-keenwilliamw
History of Medicine Collections (Duke University)	new_term	corpname	trent-kellerjohanchristopherhenrikrummelhoff
Osler, William, Sir, 1849-1919	new_term	persname	trent-kellyhowarda
History of Medicine Collections (Duke University)	new_term	corpname	trent-kellyhowarda
History of Medicine Collections (Duke University)	new_term	corpname	trent-kernerjustinusandreaschristian
History of Medicine Collections (Duke University)	new_term	corpname	trent-kettilbyk
History of Medicine Collections (Duke University)	new_term	corpname	trent-kirschnermartin
History of Medicine Collections (Duke University)	new_term	corpname	trent-kissamricardussharpe
History of Medicine Collections (Duke University)	new_term	corpname	trent-kitchinerwilliam
Longevity in art	new_term	subject	trent-kleefhermanusvan
Old age	new_term	subject	trent-kleefhermanusvan
History of Medicine Collections (Duke University)	new_term	corpname	trent-kleefhermanusvan
History of Medicine Collections (Duke University)	new_term	corpname	trent-kneelandsamuel
History of Medicine Collections (Duke University)	new_term	corpname	trent-knightsofmalta
Knights of Malta -- History	new_term	corpname	trent-knightsofmalta
Malta -- History	new_term	geogname	trent-knightsofmalta
Parchment	new_term	genreform	trent-knightsofmalta
History of Medicine Collections (Duke University)	new_term	corpname	trent-koreffjohannferdinand
History of Medicine Collections (Duke University)	new_term	corpname	trent-kuhnholtzh
History of Medicine Collections (Duke University)	new_term	corpname	trent-kussmauladolf
History of Medicine Collections (Duke University)	new_term	corpname	trent-kuttnerhermann
History of Medicine Collections (Duke University)	new_term	corpname	trent-laennecrth
History of Medicine Collections (Duke University)	new_term	corpname	trent-lallementamedee
History of Medicine Collections (Duke University)	new_term	corpname	trent-lamarcke
Military Medicine -- 20th cent	new_term	subject	trent-lambertmaurice
History of Medicine Collections (Duke University)	new_term	corpname	trent-lambertmaurice
History of Medicine Collections (Duke University)	new_term	corpname	trent-landner
History of Medicine Collections (Duke University)	new_term	corpname	trent-langenbeckconradjohannmartin
History of Medicine Collections (Duke University)	new_term	corpname	trent-lariveaugustede
History of Medicine Collections (Duke University)	new_term	corpname	trent-larreyfelixhippolyte
History of Medicine Collections (Duke University)	new_term	corpname	trent-laseguecharles
Rush, Benjamin, 1746-1813	new_term	persname	trent-latanejohnholladay
History of Medicine Collections (Duke University)	new_term	corpname	trent-latanejohnholladay
History of Medicine Collections (Duke University)	new_term	corpname	trent-latouche
French poetry -- 18th century	new_term	subject	trent-lattaignantgabrielcharlesde
Physicians -- France -- 18th century	new_term	subject	trent-lattaignantgabrielcharlesde
Tronchin, Theodore, 1709-1781	new_term	persname	trent-lattaignantgabrielcharlesde
History of Medicine Collections (Duke University)	new_term	corpname	trent-lattaignantgabrielcharlesde
History of Medicine Collections (Duke University)	new_term	corpname	trent-laudun
Lichtenberg, Georg Christoph, 1742-1799	new_term	persname	trent-lavaterjohanncaspar
Schweighauser, Jean Geoffrey, 1776-1844	new_term	persname	trent-lavaterjohanncaspar
History of Medicine Collections (Duke University)	new_term	corpname	trent-lavaterjohanncaspar
History of Medicine Collections (Duke University)	new_term	corpname	trent-lavoisierantoinelaurent
History of Medicine Collections (Duke University)	new_term	corpname	trent-lawrenceeffingham
Koecker, Leonard, 1785-1850	new_term	persname	trent-lawrencewilliam
History of Medicine Collections (Duke University)	new_term	corpname	trent-lawrencewilliam
History of Medicine Collections (Duke University)	new_term	corpname	trent-lawyeraj
History of Medicine Collections (Duke University)	new_term	corpname	trent-lazermejacques
History of Medicine Collections (Duke University)	new_term	corpname	trent-leblanca
History of Medicine Collections (Duke University)	new_term	corpname	trent-ledererl
