original_term	cleaned_term	term_type	eadid_term_source
Mental Disorders	new_term	subject	trent-baillargerjulesgabrielfrancois
Psychiatry	new_term	subject	trent-baillargerjulesgabrielfrancois
Baillarger, Jules Gabriel Francois, 1809-1890	new_term	persname	trent-baillargerjulesgabrielfrancois
History of Medicine Collections (Duke University)	new_term	corpname	trent-baillargerjulesgabrielfrancois
Baillie, Matthew, 1761-1823	new_term	persname	trent-bailliematthew
History of Medicine Collections (Duke University)	new_term	corpname	trent-bailliematthew
Baldwin, Thomas.	new_term	persname	trent-baldwinthomas
History of Medicine Collections (Duke University)	new_term	corpname	trent-baldwinthomas
Bardeleben, Adolf, 1819-1895	new_term	persname	trent-bardelebenadolf
History of Medicine Collections (Duke University)	new_term	corpname	trent-bardelebenadolf
Bard, Samuel, 1742-1821	new_term	persname	trent-bardsamuel
History of Medicine Collections (Duke University)	new_term	corpname	trent-bardsamuel
History of Medicine Collections (Duke University)	new_term	corpname	trent-bardsamuel
Medical Society of the State of New York (1788-1794)	new_term	corpname	trent-bardsamuel
Barker, Fordyce, 1819-1891	new_term	persname	trent-barkerfordyce
Everett, Edward, 1794-1865	new_term	persname	trent-barkerfordyce
History of Medicine Collections (Duke University)	new_term	corpname	trent-barkerfordyce
Bowdoin College.	new_term	corpname	trent-barkerfordyce
History of Medicine Collections (Duke University)	new_term	corpname	trent-barkerfordyce
Yellow Fever -- New York (State) -- New York -- History	new_term	subject	trent-barneyjohnp
Barney, John P.	new_term	persname	trent-barneyjohnp
History of Medicine Collections (Duke University)	new_term	corpname	trent-barneyjohnp
Bellevue Hospital.	new_term	corpname	trent-barneyjohnp
History of Medicine Collections (Duke University)	new_term	corpname	trent-barneyjohnp
Bartels, Paul, 1874-1914	new_term	persname	trent-bartelspaul
Pagel, J. (Julius), 1851-1912	new_term	persname	trent-bartelspaul
History of Medicine Collections (Duke University)	new_term	corpname	trent-bartelspaul
Bartlett, Elisha, 1804-1855	new_term	persname	trent-bartlettelisha
History of Medicine Collections (Duke University)	new_term	corpname	trent-bartlettelisha
Bartlett, Josiah, 1759-1820	new_term	persname	trent-bartlettjosiah
History of Medicine Collections (Duke University)	new_term	corpname	trent-bartlettjosiah
Vaccinia	new_term	subject	trent-bartlettlevi
Vaccination -- History	new_term	subject	trent-bartlettlevi
Bartlett, Levi, 1763-1828	new_term	persname	trent-bartlettlevi
Bartlett, Josiah, 1768-1838	new_term	persname	trent-bartlettlevi
Waterhouse, Benjamin, 1754-1846	new_term	persname	trent-bartlettlevi
History of Medicine Collections (Duke University)	new_term	corpname	trent-bartlettlevi
Barton, J. Rhea (John Rhea), 1794-1871	new_term	persname	trent-bartonjrhea
History of Medicine Collections (Duke University)	new_term	corpname	trent-bartonjrhea
Bassi, Agostino, 1773-1856	new_term	persname	trent-bassiagostino
History of Medicine Collections (Duke University)	new_term	corpname	trent-bassiagostino
Bassini, Edoardo, 1844-1924	new_term	persname	trent-bassiniedoardo
History of Medicine Collections (Duke University)	new_term	corpname	trent-bassiniedoardo
Baumes, J. B. T. (Jean Baptiste Timothee), 1756-1828	new_term	persname	trent-baumesjbt
Bouillon-Lagrange, Edme Jean Baptiste, 1764-1844	new_term	persname	trent-baumesjbt
Julia de Fontenelle, (Jean-Sebastien-Eugene), M. 1790-1842	new_term	persname	trent-baumesjbt
History of Medicine Collections (Duke University)	new_term	corpname	trent-baumesjbt
Beattie, William, 1793-1875	new_term	persname	trent-beattiewilliam
Britton, John, 1771-1857	new_term	persname	trent-beattiewilliam
History of Medicine Collections (Duke University)	new_term	corpname	trent-beattiewilliam
Beaumont, William, 1785-1853	new_term	persname	trent-beaumontwilliam
History of Medicine Collections (Duke University)	new_term	corpname	trent-beaumontwilliam
Beck, Charles Frederick, 1806-	new_term	persname	trent-beckcharlesfrederick
Bache, A. D. (Alexander Dallas), 1806-1867	new_term	persname	trent-beckcharlesfrederick
Bache, Franklin, 1792-1864	new_term	persname	trent-beckcharlesfrederick
Coxe, John Redman, 1773-1864	new_term	persname	trent-beckcharlesfrederick
Dewees, William, 1768-1841	new_term	persname	trent-beckcharlesfrederick
Dunglison, Robley, 1798-1869	new_term	persname	trent-beckcharlesfrederick
Gibson, William, 1788-1868	new_term	persname	trent-beckcharlesfrederick
Hare, Robert, 1781-1858	new_term	persname	trent-beckcharlesfrederick
Horner, William E. (William Edmonds), 1793-1853	new_term	persname	trent-beckcharlesfrederick
Jackson, Samuel, 1787-1872	new_term	persname	trent-beckcharlesfrederick
James, Thomas C. (Thomas Chalkley), 1766-1835	new_term	persname	trent-beckcharlesfrederick
Kane, John K. (John Kintzing), 1795-1858	new_term	persname	trent-beckcharlesfrederick
Parrish, Joseph, 1779-1840	new_term	persname	trent-beckcharlesfrederick
Physick, Philip Syng, 1768-1837	new_term	persname	trent-beckcharlesfrederick
History of Medicine Collections (Duke University)	new_term	corpname	trent-beckcharlesfrederick
Beck, Lewis C. (Lewis Caleb), 1798-1853	new_term	persname	trent-becklewisc
History of Medicine Collections (Duke University)	new_term	corpname	trent-becklewisc
Beck, Theodric Romeyn, 1791-1855	new_term	persname	trent-becktheodricromeyn
History of Medicine Collections (Duke University)	new_term	corpname	trent-becktheodricromeyn
Beclard, J. (Jules), 1817-1887	new_term	persname	trent-beclardj
History of Medicine Collections (Duke University)	new_term	corpname	trent-beclardj
Behn, Wilhelm Friedrich Georg, 1808-1878	new_term	persname	trent-behnwilhelmfriedrichgeorg
History of Medicine Collections (Duke University)	new_term	corpname	trent-behnwilhelmfriedrichgeorg
Behring, Emil von, 1854-1917	new_term	persname	trent-behringemilvon
History of Medicine Collections (Duke University)	new_term	corpname	trent-behringemilvon
Bell, Charles, Sir, 1774-1842	new_term	persname	trent-bellcharles
History of Medicine Collections (Duke University)	new_term	corpname	trent-bellcharles
History of Medicine Collections (Duke University)	new_term	corpname	trent-belljacobus
History of Medicine Collections (Duke University)	new_term	corpname	trent-belljamesm
Cholera	new_term	subject	trent-belljohn
Bell, John, 1796-1872	new_term	persname	trent-belljohn
Chelius, J. M. (Joseph Maximilian), 1794-1876	new_term	persname	trent-belljohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-belljohn
Bell, John, 1763-1820	new_term	persname	trent-belljohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-belljohn
Berard, Auguste, 1802-1846	new_term	persname	trent-berardauguste
History of Medicine Collections (Duke University)	new_term	corpname	trent-berardauguste
Berard, Pierre Honore, 1797-1858	new_term	persname	trent-berardpierrehonore
History of Medicine Collections (Duke University)	new_term	corpname	trent-berardpierrehonore
Mollusca	new_term	subject	trent-berghrudolph
Bergh, Rudolph (Ludvig Sophus Rudolph), 1824-1909	new_term	persname	trent-berghrudolph
History of Medicine Collections (Duke University)	new_term	corpname	trent-berghrudolph
Berg, Janus Anton Rahbek.	new_term	persname	trent-bergjanusantonrahbek
History of Medicine Collections (Duke University)	new_term	corpname	trent-bergjanusantonrahbek
Bergmann, Ernst von, 1836-1907	new_term	persname	trent-bergmannernstvon
History of Medicine Collections (Duke University)	new_term	corpname	trent-bergmannernstvon
Bernard, Claude, 1813-1878	new_term	persname	trent-bernardclaude
History of Medicine Collections (Duke University)	new_term	corpname	trent-bernardclaude
Berthelot, M. (Marcellin), 1827-1907	new_term	persname	trent-berthelotm
History of Medicine Collections (Duke University)	new_term	corpname	trent-berthelotm
Bert, Paul, 1833-1886	new_term	persname	trent-bertpaul
History of Medicine Collections (Duke University)	new_term	corpname	trent-bertpaul
Military Medicine -- China	new_term	subject	trent-bethunenorman
Bethune, Norman.	new_term	persname	trent-bethunenorman
History of Medicine Collections (Duke University)	new_term	corpname	trent-bethunenorman
Quarantine -- United States -- History	new_term	subject	trent-biddlenicholas
Biddle, Nicholas, 1786-1844	new_term	persname	trent-biddlenicholas
History of Medicine Collections (Duke University)	new_term	corpname	trent-biddlenicholas
Bigelow, Henry Jacob, 1818-1890	new_term	persname	trent-bigelowhenryjacob
History of Medicine Collections (Duke University)	new_term	corpname	trent-bigelowhenryjacob
Bigelow, Jacob, 1786-1879	new_term	persname	trent-bigelowjacob
History of Medicine Collections (Duke University)	new_term	corpname	trent-bigelowjacob
Billings, John S. (John Shaw), 1838-1913	new_term	persname	trent-billingsjohns
History of Medicine Collections (Duke University)	new_term	corpname	trent-billingsjohns
Bios, J. B.	new_term	persname	trent-biosjb
History of Medicine Collections (Duke University)	new_term	corpname	trent-biosjb
Bischoff, Th. Ludw. Wilh. (Theodor Ludwig Wilhelm), 1807-1882	new_term	persname	trent-bischoffthludwwilh
History of Medicine Collections (Duke University)	new_term	corpname	trent-bischoffthludwwilh
Bjornsson, Gumund.	new_term	persname	trent-bjornssongumund
History of Medicine Collections (Duke University)	new_term	corpname	trent-bjornssongumund
Blackwell, Elizabeth, 1821-1910	new_term	persname	trent-blackwellelizabeth
