Aleph_Number	RL_Number	EADID	URL	
001636227	RL.10446	trent-eustachibartolomeo	http://library.duke.edu/rubenstein/findingaids/trent-eustachibartolomeo/
002138366	RL.10447	trent-eustiswilliam	http://library.duke.edu/rubenstein/findingaids/trent-eustiswilliam/
002137077	RL.10448	trent-evepaulf	http://library.duke.edu/rubenstein/findingaids/trent-evepaulf/
002137097	RL.10449	trent-ewartjc	http://library.duke.edu/rubenstein/findingaids/trent-ewartjc/
002137083	RL.10450	trent-faurejlpapers	http://library.duke.edu/rubenstein/findingaids/trent-faurejlpapers/
002137085	RL.10451	trent-fayrerjosephpapers	http://library.duke.edu/rubenstein/findingaids/trent-fayrerjosephpapers/
002137087	RL.10452	trent-fechnergustavtheodor	http://library.duke.edu/rubenstein/findingaids/trent-fechnergustavtheodor/
002137089	RL.10457	trent-fereollouisfelixhenrisecond	http://library.duke.edu/rubenstein/findingaids/trent-fereollouisfelixhenrisecond/
001646082	RL.10453	trent-fergusonwilliam	http://library.duke.edu/rubenstein/findingaids/trent-fergusonwilliam/
002137099	RL.10454	trent-fergussonwilliampapers	http://library.duke.edu/rubenstein/findingaids/trent-fergussonwilliampapers/
002137104	RL.10455	trent-ferrierdavid	http://library.duke.edu/rubenstein/findingaids/trent-ferrierdavid/
002137101	RL.10456	trent-ferrusgma	http://library.duke.edu/rubenstein/findingaids/trent-ferrusgma/
002137102	RL.10458	trent-finleyjamesb	http://library.duke.edu/rubenstein/findingaids/trent-finleyjamesb/
004195229	RL.10459	trent-finsennielsrletters	http://library.duke.edu/rubenstein/findingaids/trent-finsennielsrletters/
002137110	RL.10460	trent-fisheralexander	http://library.duke.edu/rubenstein/findingaids/trent-fisheralexander/
002137106	RL.10461	trent-fishhenrypapers	http://library.duke.edu/rubenstein/findingaids/trent-fishhenrypapers/
001636228	RL.10462	trent-fiverokepeter	http://library.duke.edu/rubenstein/findingaids/trent-fiverokepeter/
002137108	RL.10463	trent-flintaustin	http://library.duke.edu/rubenstein/findingaids/trent-flintaustin/
002156031	RL.10464	trent-flourensppapers	http://library.duke.edu/rubenstein/findingaids/trent-flourensppapers/
002137113	RL.10465	trent-footjessepapers	http://library.duke.edu/rubenstein/findingaids/trent-footjessepapers/
002137114	RL.10466	trent-forwoodwstumppapers	http://library.duke.edu/rubenstein/findingaids/trent-forwoodwstumppapers/
002138357	RL.10467	trent-fothergilljohnpapers	http://library.duke.edu/rubenstein/findingaids/trent-fothergilljohnpapers/
002138358	RL.10468	trent-foucaultleon	http://library.duke.edu/rubenstein/findingaids/trent-foucaultleon/
002138359	RL.10469	trent-fourierjeanbaptistejosephpapers	http://library.duke.edu/rubenstein/findingaids/trent-fourierjeanbaptistejosephpapers/
004191950	RL.10470	trent-fowlerln	http://library.duke.edu/rubenstein/findingaids/trent-fowlerln/
002138360	RL.10471	trent-fraenkelludwig	http://library.duke.edu/rubenstein/findingaids/trent-fraenkelludwig/
002138361	RL.10472	trent-francisjohnw	http://library.duke.edu/rubenstein/findingaids/trent-francisjohnw/
002138362	RL.10473	trent-franklinbenjamin	http://library.duke.edu/rubenstein/findingaids/trent-franklinbenjamin/
002138363	RL.10474	trent-freelandjamespapers	http://library.duke.edu/rubenstein/findingaids/trent-freelandjamespapers/
002169150	RL.10475	trent-frerichsfriedrichtheodor	http://library.duke.edu/rubenstein/findingaids/trent-frerichsfriedrichtheodor/
002138365	RL.10476	trent-fryelizabethgurneypapers	http://library.duke.edu/rubenstein/findingaids/trent-fryelizabethgurneypapers/
001636229	RL.10477	trent-gagehomer	http://library.duke.edu/rubenstein/findingaids/trent-gagehomer/
002169649	RL.10478	trent-gannettcaleb	http://library.duke.edu/rubenstein/findingaids/trent-gannettcaleb/
002138369	RL.10479	trent-gardinersilvesterpapers	http://library.duke.edu/rubenstein/findingaids/trent-gardinersilvesterpapers/
002138370	RL.10480	trent-garretsonjamesedmund	http://library.duke.edu/rubenstein/findingaids/trent-garretsonjamesedmund/
002138371	RL.10481	trent-garrisonfieldinghletters	http://library.duke.edu/rubenstein/findingaids/trent-garrisonfieldinghletters/
002138372	RL.10482	trent-gerbierdocument	http://library.duke.edu/rubenstein/findingaids/trent-gerbierdocument/
002138373	RL.10483	trent-gibbesrobertwpapers	http://library.duke.edu/rubenstein/findingaids/trent-gibbesrobertwpapers/
002138374	RL.10484	trent-gibsonwilliampapers	http://library.duke.edu/rubenstein/findingaids/trent-gibsonwilliampapers/
002138375	RL.10485	trent-gilbertdavid	http://library.duke.edu/rubenstein/findingaids/trent-gilbertdavid/
002138376	RL.10486	trent-gilbertludwigwilhelm	http://library.duke.edu/rubenstein/findingaids/trent-gilbertludwigwilhelm/
004185562	RL.10487	trent-ginsberglouispapers	http://library.duke.edu/rubenstein/findingaids/trent-ginsberglouispapers/
002138378	RL.10488	trent-girardj	http://library.duke.edu/rubenstein/findingaids/trent-girardj/
002138377	RL.10489	trent-giraudycharlesfrancoiss	http://library.duke.edu/rubenstein/findingaids/trent-giraudycharlesfrancoiss/
002138379	RL.10490	trent-glentworththomasdocument	http://library.duke.edu/rubenstein/findingaids/trent-glentworththomasdocument/
002138380	RL.10491	trent-goiffonjeanbaptiste	http://library.duke.edu/rubenstein/findingaids/trent-goiffonjeanbaptiste/
002138382	RL.10492	trent-goodhueespapers	http://library.duke.edu/rubenstein/findingaids/trent-goodhueespapers/
002138381	RL.10493	trent-goodjohnmasonpapers	http://library.duke.edu/rubenstein/findingaids/trent-goodjohnmasonpapers/
001636231	RL.10494	trent-goodsamuel	http://library.duke.edu/rubenstein/findingaids/trent-goodsamuel/
002147960	RL.10495	trent-goodsonjohndocument	http://library.duke.edu/rubenstein/findingaids/trent-goodsonjohndocument/
002138383	RL.10496	trent-gosselinathanaseleon	http://library.duke.edu/rubenstein/findingaids/trent-gosselinathanaseleon/
002138384	RL.10497	trent-goudareaujmc	http://library.duke.edu/rubenstein/findingaids/trent-goudareaujmc/
002138385	RL.10498	trent-gouldaugustusapapers	http://library.duke.edu/rubenstein/findingaids/trent-gouldaugustusapapers/
002138386	RL.10499	trent-greelyaw	http://library.duke.edu/rubenstein/findingaids/trent-greelyaw/
002138387	RL.10500	trent-greensamuela	http://library.duke.edu/rubenstein/findingaids/trent-greensamuela/
001646081	RL.10501	trent-grenfellwilfredthomason	http://library.duke.edu/rubenstein/findingaids/trent-grenfellwilfredthomason/
002138388	RL.10502	trent-griggsleepapers	http://library.duke.edu/rubenstein/findingaids/trent-griggsleepapers/
002138389	RL.10503	trent-grisolleaugustin	http://library.duke.edu/rubenstein/findingaids/trent-grisolleaugustin/
002138390	RL.10504	trent-guepinangemariefrancois	http://library.duke.edu/rubenstein/findingaids/trent-guepinangemariefrancois/
002138391	RL.10505	trent-gullivergeorgepapers	http://library.duke.edu/rubenstein/findingaids/trent-gullivergeorgepapers/
001636232	RL.10506	trent-gullwilliamwithey	http://library.duke.edu/rubenstein/findingaids/trent-gullwilliamwithey/
001636233	RL.10507	trent-gullyjamesmanbyletters	http://library.duke.edu/rubenstein/findingaids/trent-gullyjamesmanbyletters/
002138392	RL.10508	trent-gunnjamesandrew	http://library.duke.edu/rubenstein/findingaids/trent-gunnjamesandrew/
002138393	RL.10509	trent-guthriegj	http://library.duke.edu/rubenstein/findingaids/trent-guthriegj/
002138394	RL.10510	trent-hackettceciljohnpapers	http://library.duke.edu/rubenstein/findingaids/trent-hackettceciljohnpapers/
002138482	RL.10511	trent-hackettcw	http://library.duke.edu/rubenstein/findingaids/trent-hackettcw/
002138395	RL.10512	trent-hahnemannsamuel	http://library.duke.edu/rubenstein/findingaids/trent-hahnemannsamuel/
002143884	RL.10513	trent-halericharddocument	http://library.duke.edu/rubenstein/findingaids/trent-halericharddocument/
002138396	RL.10514	trent-halfordhenrypapers	http://library.duke.edu/rubenstein/findingaids/trent-halfordhenrypapers/
002169151	RL.10515	trent-halleralbrechtvonpapers	http://library.duke.edu/rubenstein/findingaids/trent-halleralbrechtvonpapers/
002138399	RL.10516	trent-hallidayandrew	http://library.duke.edu/rubenstein/findingaids/trent-hallidayandrew/
002138397	RL.10517	trent-halljames	http://library.duke.edu/rubenstein/findingaids/trent-halljames/
002138398	RL.10518	trent-halllarrygdocument	http://library.duke.edu/rubenstein/findingaids/trent-halllarrygdocument/
002138400	RL.10519	trent-hammondwilliamapapers	http://library.duke.edu/rubenstein/findingaids/trent-hammondwilliamapapers/
002138402	RL.10520	trent-hareldutancrelaugustin	http://library.duke.edu/rubenstein/findingaids/trent-hareldutancrelaugustin/
002138401	RL.10521	trent-harerobertpapers	http://library.duke.edu/rubenstein/findingaids/trent-harerobertpapers/
002138403	RL.10522	trent-harleyjohnpapers	http://library.duke.edu/rubenstein/findingaids/trent-harleyjohnpapers/
002133863	RL.10523	trent-harrellgeorget	http://library.duke.edu/rubenstein/findingaids/trent-harrellgeorget/
002133850	RL.10524	trent-harrisgeorge	http://library.duke.edu/rubenstein/findingaids/trent-harrisgeorge/
002138404	RL.10525	trent-harristhaddeusmason	http://library.duke.edu/rubenstein/findingaids/trent-harristhaddeusmason/
002138405	RL.10526	trent-harristhaddeuswilliam	http://library.duke.edu/rubenstein/findingaids/trent-harristhaddeuswilliam/
002138406	RL.10527	trent-harristhomaspapers	http://library.duke.edu/rubenstein/findingaids/trent-harristhomaspapers/
002138481	RL.10528	trent-hartalbertbushnellpapers	http://library.duke.edu/rubenstein/findingaids/trent-hartalbertbushnellpapers/
002138408	RL.10529	trent-harternestabrahampapers	http://library.duke.edu/rubenstein/findingaids/trent-harternestabrahampapers/
002138407	RL.10530	trent-hartshornedavid	http://library.duke.edu/rubenstein/findingaids/trent-hartshornedavid/
002138409	RL.10531	trent-harveywilliamdocument	http://library.duke.edu/rubenstein/findingaids/trent-harveywilliamdocument/
002138410	RL.10532	trent-heberdenwilliam	http://library.duke.edu/rubenstein/findingaids/trent-heberdenwilliam/
002169632	RL.10533	trent-helmholtzhermannvon	http://library.duke.edu/rubenstein/findingaids/trent-helmholtzhermannvon/
002137082	RL.10534	trent-henrywilliam	http://library.duke.edu/rubenstein/findingaids/trent-henrywilliam/
002138411	RL.10535	trent-henrywilliampapers	http://library.duke.edu/rubenstein/findingaids/trent-henrywilliampapers/
002138412	RL.10536	trent-henslowjs	http://library.duke.edu/rubenstein/findingaids/trent-henslowjs/
001636234	RL.10537	trent-herbertofleasidneyherbert	http://library.duke.edu/rubenstein/findingaids/trent-herbertofleasidneyherbert/
002138413	RL.10538	trent-herrgeorges	http://library.duke.edu/rubenstein/findingaids/trent-herrgeorges/
002138414	RL.10539	trent-herseyezekieldocument	http://library.duke.edu/rubenstein/findingaids/trent-herseyezekieldocument/
002138415	RL.10540	trent-heurteloupnicolas	http://library.duke.edu/rubenstein/findingaids/trent-heurteloupnicolas/
002138416	RL.10541	trent-hibbertsamuel	http://library.duke.edu/rubenstein/findingaids/trent-hibbertsamuel/
001636235	RL.10542	trent-hicksh	http://library.duke.edu/rubenstein/findingaids/trent-hicksh/
002138418	RL.10543	trent-hincksthomasshawkesfordpapers	http://library.duke.edu/rubenstein/findingaids/trent-hincksthomasshawkesfordpapers/
002138417	RL.10544	trent-hitchcockedwardpapers	http://library.duke.edu/rubenstein/findingaids/trent-hitchcockedwardpapers/
002138419	RL.10545	trent-hodgehughl	http://library.duke.edu/rubenstein/findingaids/trent-hodgehughl/
002138420	RL.10546	trent-hodgkinthomaspapers	http://library.duke.edu/rubenstein/findingaids/trent-hodgkinthomaspapers/
002138421	RL.10547	trent-hollandhenry	http://library.duke.edu/rubenstein/findingaids/trent-hollandhenry/
002138422	RL.10548	trent-holmesoliverwendellpapers	http://library.duke.edu/rubenstein/findingaids/trent-holmesoliverwendellpapers/
002138423	RL.10549	trent-holyokeedwardaugustus	http://library.duke.edu/rubenstein/findingaids/trent-holyokeedwardaugustus/
002138424	RL.10550	trent-homeeverarddocument	http://library.duke.edu/rubenstein/findingaids/trent-homeeverarddocument/
002138425	RL.10551	trent-hornerkatez	http://library.duke.edu/rubenstein/findingaids/trent-hornerkatez/
002138426	RL.10552	trent-hornerwilliame	http://library.duke.edu/rubenstein/findingaids/trent-hornerwilliame/
002138427	RL.10553	trent-horsleyvictor	http://library.duke.edu/rubenstein/findingaids/trent-horsleyvictor/
002138428	RL.10554	trent-horsleywilliam	http://library.duke.edu/rubenstein/findingaids/trent-horsleywilliam/
002138429	RL.10555	trent-hosackdavidpapers	http://library.duke.edu/rubenstein/findingaids/trent-hosackdavidpapers/
002147982	RL.10556	trent-houghjohn	http://library.duke.edu/rubenstein/findingaids/trent-houghjohn/
002138474	RL.10557	trent-howesgpapers	http://library.duke.edu/rubenstein/findingaids/trent-howesgpapers/
002138475	RL.10558	trent-huchardh	http://library.duke.edu/rubenstein/findingaids/trent-huchardh/
001636236	RL.10559	trent-hudsonellisherndon	http://library.duke.edu/rubenstein/findingaids/trent-hudsonellisherndon/
004195254	RL.10561	trent-hughesthomas	http://library.duke.edu/rubenstein/findingaids/trent-hughesthomas/
002138476	RL.10560	trent-hughesthomaspapers	http://library.duke.edu/rubenstein/findingaids/trent-hughesthomaspapers/
002138478	RL.10562	trent-humboldtalexandervonpapers	http://library.duke.edu/rubenstein/findingaids/trent-humboldtalexandervonpapers/
002138477	RL.10563	trent-humphreyasahelpapers	http://library.duke.edu/rubenstein/findingaids/trent-humphreyasahelpapers/
002143883	RL.10564	trent-hunterjohn	http://library.duke.edu/rubenstein/findingaids/trent-hunterjohn/
001636237	RL.10565	trent-huntharriotkesia	http://library.duke.edu/rubenstein/findingaids/trent-huntharriotkesia/
002138479	RL.10566	trent-huxleythomashenry	http://library.duke.edu/rubenstein/findingaids/trent-huxleythomashenry/
002138480	RL.10568	trent-hydewilliamdocument	http://library.duke.edu/rubenstein/findingaids/trent-hydewilliamdocument/
001646078	RL.10567	trent-hydewilliampapers	http://library.duke.edu/rubenstein/findingaids/trent-hydewilliampapers/
002138483	RL.10569	trent-innesjames	http://library.duke.edu/rubenstein/findingaids/trent-innesjames/
002147955	RL.10570	trent-jacksoncharlestpapers	http://library.duke.edu/rubenstein/findingaids/trent-jacksoncharlestpapers/
002138484	RL.10571	trent-jacksonhallpapers	http://library.duke.edu/rubenstein/findingaids/trent-jacksonhallpapers/
002138488	RL.10572	trent-jacksonjames	http://library.duke.edu/rubenstein/findingaids/trent-jacksonjames/
002138489	RL.10573	trent-jacobimaryputnam	http://library.duke.edu/rubenstein/findingaids/trent-jacobimaryputnam/
001646083	RL.10574	trent-jamesonrobert	http://library.duke.edu/rubenstein/findingaids/trent-jamesonrobert/
002138491	RL.10575	trent-jayjames	http://library.duke.edu/rubenstein/findingaids/trent-jayjames/
002138492	RL.10576	trent-jeffersongeoffrey	http://library.duke.edu/rubenstein/findingaids/trent-jeffersongeoffrey/
002138493	RL.10577	trent-jeffersonthomas	http://library.duke.edu/rubenstein/findingaids/trent-jeffersonthomas/
002138494	RL.10578	trent-jeffriesjohn	http://library.duke.edu/rubenstein/findingaids/trent-jeffriesjohn/
002138495	RL.10579	trent-jennerhenry	http://library.duke.edu/rubenstein/findingaids/trent-jennerhenry/
002138496	RL.10580	trent-jennerwilliampapers	http://library.duke.edu/rubenstein/findingaids/trent-jennerwilliampapers/
002138497	RL.10581	trent-jennisontimothylindallpapers	http://library.duke.edu/rubenstein/findingaids/trent-jennisontimothylindallpapers/
002138499	RL.10582	trent-jexblakesophia	http://library.duke.edu/rubenstein/findingaids/trent-jexblakesophia/
002138498	RL.10583	trent-jobertantoinejoseph	http://library.duke.edu/rubenstein/findingaids/trent-jobertantoinejoseph/
002143885	RL.10584	trent-jonesbencepapers	http://library.duke.edu/rubenstein/findingaids/trent-jonesbencepapers/
002143887	RL.10585	trent-jonesjoseph	http://library.duke.edu/rubenstein/findingaids/trent-jonesjoseph/
002160507	RL.10586	trent-jussieuantoinelaurentdedocument	http://library.duke.edu/rubenstein/findingaids/trent-jussieuantoinelaurentdedocument/
002143888	RL.10587	trent-kaneelishakent	http://library.duke.edu/rubenstein/findingaids/trent-kaneelishakent/
002143889	RL.10588	trent-keatethomas	http://library.duke.edu/rubenstein/findingaids/trent-keatethomas/
002119533	RL.10589	trent-keenwilliamw	http://library.duke.edu/rubenstein/findingaids/trent-keenwilliamw/
002143890	RL.10590	trent-kellerjohanchristopherhenrikrummelhoffpapers	http://library.duke.edu/rubenstein/findingaids/trent-kellerjohanchristopherhenrikrummelhoffpapers/
002143892	RL.10591	trent-kellyhowardapapers	http://library.duke.edu/rubenstein/findingaids/trent-kellyhowardapapers/
002143893	RL.10592	trent-kernerjustinusandreaschristian	http://library.duke.edu/rubenstein/findingaids/trent-kernerjustinusandreaschristian/
001646085	RL.10593	trent-kettilbykletters	http://library.duke.edu/rubenstein/findingaids/trent-kettilbykletters/
002143894	RL.10594	trent-kirschnermartin	http://library.duke.edu/rubenstein/findingaids/trent-kirschnermartin/
002143895	RL.10595	trent-kissamricardussharpedocument	http://library.duke.edu/rubenstein/findingaids/trent-kissamricardussharpedocument/
002143896	RL.10596	trent-kitchinerwilliampapers	http://library.duke.edu/rubenstein/findingaids/trent-kitchinerwilliampapers/
001681012	RL.10597	trent-kleefhermanusvan	http://library.duke.edu/rubenstein/findingaids/trent-kleefhermanusvan/
002143897	RL.10598	trent-kneelandsamuel	http://library.duke.edu/rubenstein/findingaids/trent-kneelandsamuel/
005908386	RL.10979	trent-knightsofmaltadocument	http://library.duke.edu/rubenstein/findingaids/trent-knightsofmaltadocument/
002143898	RL.10599	trent-koreffjohannferdinand	http://library.duke.edu/rubenstein/findingaids/trent-koreffjohannferdinand/
002143899	RL.10601	trent-kuhnholtzh	http://library.duke.edu/rubenstein/findingaids/trent-kuhnholtzh/
002143901	RL.10600	trent-kussmauladolf	http://library.duke.edu/rubenstein/findingaids/trent-kussmauladolf/
002143900	RL.10602	trent-kuttnerhermann	http://library.duke.edu/rubenstein/findingaids/trent-kuttnerhermann/
002143910	RL.10603	trent-laennecrthpapers	http://library.duke.edu/rubenstein/findingaids/trent-laennecrthpapers/
002160415	RL.10604	trent-lallementamedee	http://library.duke.edu/rubenstein/findingaids/trent-lallementamedee/
002147961	RL.10605	trent-lamarckepapers	http://library.duke.edu/rubenstein/findingaids/trent-lamarckepapers/
001658321	RL.10606	trent-lambertmauricedocument	http://library.duke.edu/rubenstein/findingaids/trent-lambertmauricedocument/
001681017	RL.10607	trent-landner	http://library.duke.edu/rubenstein/findingaids/trent-landner/
002143902	RL.10608	trent-langenbeckconradjohannmartin	http://library.duke.edu/rubenstein/findingaids/trent-langenbeckconradjohannmartin/
002133862	RL.10609	trent-lariveaugustede	http://library.duke.edu/rubenstein/findingaids/trent-lariveaugustede/
002143904	RL.10610	trent-larreyfelixhippolytepapers	http://library.duke.edu/rubenstein/findingaids/trent-larreyfelixhippolytepapers/
002143903	RL.10611	trent-laseguecharles	http://library.duke.edu/rubenstein/findingaids/trent-laseguecharles/
002138490	RL.10612	trent-latanejohnholladay	http://library.duke.edu/rubenstein/findingaids/trent-latanejohnholladay/
002147962	RL.10613	trent-latouche	http://library.duke.edu/rubenstein/findingaids/trent-latouche/
001681016	RL.10647	trent-lattaignantgabrielcharlesde	http://library.duke.edu/rubenstein/findingaids/trent-lattaignantgabrielcharlesde/
002147963	RL.10614	trent-laudun	http://library.duke.edu/rubenstein/findingaids/trent-laudun/
002143905	RL.10615	trent-lavaterjohanncaspar	http://library.duke.edu/rubenstein/findingaids/trent-lavaterjohanncaspar/
002143906	RL.10616	trent-lavoisierantoinelaurent	http://library.duke.edu/rubenstein/findingaids/trent-lavoisierantoinelaurent/
002143907	RL.10617	trent-lawrenceeffinghamdocument	http://library.duke.edu/rubenstein/findingaids/trent-lawrenceeffinghamdocument/
002143908	RL.10618	trent-lawrencewilliampapers	http://library.duke.edu/rubenstein/findingaids/trent-lawrencewilliampapers/
002169648	RL.10619	trent-lawyerajpapers	http://library.duke.edu/rubenstein/findingaids/trent-lawyerajpapers/
002147964	RL.10620	trent-lazermejacques	http://library.duke.edu/rubenstein/findingaids/trent-lazermejacques/
002147965	RL.10621	trent-leblanca	http://library.duke.edu/rubenstein/findingaids/trent-leblanca/
002147967	RL.10622	trent-ledererl	http://library.duke.edu/rubenstein/findingaids/trent-ledererl/
002147968	RL.10623	trent-leehenrypapers	http://library.duke.edu/rubenstein/findingaids/trent-leehenrypapers/
002147969	RL.10624	trent-lefortleon	http://library.duke.edu/rubenstein/findingaids/trent-lefortleon/
002147970	RL.10625	trent-leibmichael	http://library.duke.edu/rubenstein/findingaids/trent-leibmichael/
002147971	RL.10626	trent-lemaguet	http://library.duke.edu/rubenstein/findingaids/trent-lemaguet/
002147972	RL.10627	trent-leroydetiollesjeanjacquesjoseph	http://library.duke.edu/rubenstein/findingaids/trent-leroydetiollesjeanjacquesjoseph/
002147975	RL.10628	trent-lethebyhpapers	http://library.duke.edu/rubenstein/findingaids/trent-lethebyhpapers/
001695538	RL.10657	trent-letter	http://library.duke.edu/rubenstein/findingaids/trent-letter/
001658318	RL.10629	trent-lettsomjohncoakleypapers	http://library.duke.edu/rubenstein/findingaids/trent-lettsomjohncoakleypapers/
002147973	RL.10630	trent-lewisdiopapers	http://library.duke.edu/rubenstein/findingaids/trent-lewisdiopapers/
002176685	RL.10631	trent-lewiswilliam	http://library.duke.edu/rubenstein/findingaids/trent-lewiswilliam/
002169633	RL.10632	trent-liebigjustus	http://library.duke.edu/rubenstein/findingaids/trent-liebigjustus/
002147974	RL.10633	trent-lippec	http://library.duke.edu/rubenstein/findingaids/trent-lippec/
002147976	RL.10634	trent-lisfranc	http://library.duke.edu/rubenstein/findingaids/trent-lisfranc/
002147977	RL.10635	trent-listerjosephpapers	http://library.duke.edu/rubenstein/findingaids/trent-listerjosephpapers/
002147978	RL.10636	trent-loderjustchristianvonpapers	http://library.duke.edu/rubenstein/findingaids/trent-loderjustchristianvonpapers/
002147979	RL.10637	trent-lodgeoliver	http://library.duke.edu/rubenstein/findingaids/trent-lodgeoliver/
002147980	RL.10638	trent-loiseaucharles	http://library.duke.edu/rubenstein/findingaids/trent-loiseaucharles/
001654892	RL.10639	trent-lombrosocesareletters	http://library.duke.edu/rubenstein/findingaids/trent-lombrosocesareletters/
002147981	RL.10640	trent-longcrawfordwilliamsonpapers	http://library.duke.edu/rubenstein/findingaids/trent-longcrawfordwilliamsonpapers/
001650938	RL.10641	trent-louis	http://library.duke.edu/rubenstein/findingaids/trent-louis/
001650915	RL.10642	trent-louispca	http://library.duke.edu/rubenstein/findingaids/trent-louispca/
002147983	RL.10643	trent-lovelljosephpapers	http://library.duke.edu/rubenstein/findingaids/trent-lovelljosephpapers/
002147984	RL.10644	trent-lubbockjohn	http://library.duke.edu/rubenstein/findingaids/trent-lubbockjohn/
001650918	RL.10645	trent-lyallrobert	http://library.duke.edu/rubenstein/findingaids/trent-lyallrobert/
002147985	RL.10646	trent-lyellcharlespapers	http://library.duke.edu/rubenstein/findingaids/trent-lyellcharlespapers/
001671336	RL.10648	trent-mackenziejames	http://library.duke.edu/rubenstein/findingaids/trent-mackenziejames/
002147987	RL.10649	trent-mackenziemorellpapers	http://library.duke.edu/rubenstein/findingaids/trent-mackenziemorellpapers/
002156502	RL.10650	trent-mackiejohn	http://library.duke.edu/rubenstein/findingaids/trent-mackiejohn/
002147989	RL.10651	trent-macnevenwilliamjames	http://library.duke.edu/rubenstein/findingaids/trent-macnevenwilliamjames/
002147990	RL.10652	trent-macniderwilliamdebernierepapers	http://library.duke.edu/rubenstein/findingaids/trent-macniderwilliamdebernierepapers/
002147991	RL.10653	trent-magendiefrancois	http://library.duke.edu/rubenstein/findingaids/trent-magendiefrancois/
001671337	RL.10654	trent-magnanvalentin	http://library.duke.edu/rubenstein/findingaids/trent-magnanvalentin/
002147992	RL.10655	trent-mainejacobdocument	http://library.duke.edu/rubenstein/findingaids/trent-mainejacobdocument/
002156028	RL.10656	trent-malgaignejfpapers	http://library.duke.edu/rubenstein/findingaids/trent-malgaignejfpapers/
002147993	RL.10658	trent-mareyetiennejules	http://library.duke.edu/rubenstein/findingaids/trent-mareyetiennejules/
002147994	RL.10659	trent-marjolinjeannicolas	http://library.duke.edu/rubenstein/findingaids/trent-marjolinjeannicolas/
002138487	RL.10701	trent-massachusettsgeneralhospitalboardoftrustees	http://library.duke.edu/rubenstein/findingaids/trent-massachusettsgeneralhospitalboardoftrustees/
002147995	RL.10660	trent-matherelishapapers	http://library.duke.edu/rubenstein/findingaids/trent-matherelishapapers/
002147998	RL.10661	trent-matonwilliamgeorge	http://library.duke.edu/rubenstein/findingaids/trent-matonwilliamgeorge/
002147996	RL.10662	trent-mattheyandre	http://library.duke.edu/rubenstein/findingaids/trent-mattheyandre/
002147997	RL.10663	trent-maubanhenri	http://library.duke.edu/rubenstein/findingaids/trent-maubanhenri/
001650927	RL.10664	trent-maughamwsomersetletters	http://library.duke.edu/rubenstein/findingaids/trent-maughamwsomersetletters/
001681013	RL.10665	trent-mayarthur	http://library.duke.edu/rubenstein/findingaids/trent-mayarthur/
001650931	RL.10666	trent-mayoherbert	http://library.duke.edu/rubenstein/findingaids/trent-mayoherbert/
002147986	RL.10667	trent-mcclellangeorgepapers	http://library.duke.edu/rubenstein/findingaids/trent-mcclellangeorgepapers/
002147988	RL.10668	trent-mchenryjamespapers	http://library.duke.edu/rubenstein/findingaids/trent-mchenryjamespapers/
001650921	RL.10669	trent-mckinleyidasaxtonletters	http://library.duke.edu/rubenstein/findingaids/trent-mckinleyidasaxtonletters/
002156033	RL.10670	trent-mcnaughtonjames	http://library.duke.edu/rubenstein/findingaids/trent-mcnaughtonjames/
002147999	RL.10671	trent-meadrichardpapers	http://library.duke.edu/rubenstein/findingaids/trent-meadrichardpapers/
001650935	RL.10672	trent-measejames	http://library.duke.edu/rubenstein/findingaids/trent-measejames/
002156013	RL.10673	trent-measejamespapers	http://library.duke.edu/rubenstein/findingaids/trent-measejamespapers/
002148000	RL.10674	trent-meigsjamesaitken	http://library.duke.edu/rubenstein/findingaids/trent-meigsjamesaitken/
002148001	RL.10677	trent-meniereprosperdocument	http://library.duke.edu/rubenstein/findingaids/trent-meniereprosperdocument/
002148006	RL.10675	trent-meredithsamuelpapers	http://library.duke.edu/rubenstein/findingaids/trent-meredithsamuelpapers/
002148004	RL.10676	trent-meyranxpierrestanislas	http://library.duke.edu/rubenstein/findingaids/trent-meyranxpierrestanislas/
002148005	RL.10678	trent-middletonpeterdocument	http://library.duke.edu/rubenstein/findingaids/trent-middletonpeterdocument/
001650936	RL.10679	trent-millersamuel	http://library.duke.edu/rubenstein/findingaids/trent-millersamuel/
002148002	RL.10680	trent-millinal	http://library.duke.edu/rubenstein/findingaids/trent-millinal/
001650937	RL.10681	trent-milmanfrancis	http://library.duke.edu/rubenstein/findingaids/trent-milmanfrancis/
002148003	RL.10682	trent-milneedwardsh	http://library.duke.edu/rubenstein/findingaids/trent-milneedwardsh/
002156012	RL.10683	trent-mitchelljohnkearsleypapers	http://library.duke.edu/rubenstein/findingaids/trent-mitchelljohnkearsleypapers/
002156034	RL.10685	trent-mitchillsamuellpapers	http://library.duke.edu/rubenstein/findingaids/trent-mitchillsamuellpapers/
002156035	RL.10686	trent-moffattthomas	http://library.duke.edu/rubenstein/findingaids/trent-moffattthomas/
002156036	RL.10687	trent-moorejohn	http://library.duke.edu/rubenstein/findingaids/trent-moorejohn/
002156037	RL.10688	trent-morgagnigiambattistapapers	http://library.duke.edu/rubenstein/findingaids/trent-morgagnigiambattistapapers/
002156038	RL.10689	trent-morgandanieldocument	http://library.duke.edu/rubenstein/findingaids/trent-morgandanieldocument/
001650939	RL.10690	trent-morganjohn	http://library.duke.edu/rubenstein/findingaids/trent-morganjohn/
