Aleph_Number	RL_Number	EADID	URL	
002130232	RL.10255	trent-belljacobuspapers	http://library.duke.edu/rubenstein/findingaids/trent-belljacobuspapers/
002164976	RL.10256	trent-belljamesm	http://library.duke.edu/rubenstein/findingaids/trent-belljamesm/
002119504	RL.10257	trent-belljohn	http://library.duke.edu/rubenstein/findingaids/trent-belljohn/
001607623	RL.10258	trent-belljohnpapers	http://library.duke.edu/rubenstein/findingaids/trent-belljohnpapers/
002119505	RL.10267	trent-berardauguste	http://library.duke.edu/rubenstein/findingaids/trent-berardauguste/
002119506	RL.10268	trent-berardpierrehonore	http://library.duke.edu/rubenstein/findingaids/trent-berardpierrehonore/
002119507	RL.10259	trent-berghrudolphpapers	http://library.duke.edu/rubenstein/findingaids/trent-berghrudolphpapers/
002119510	RL.10260	trent-bergjanusantonrahbekpapers	http://library.duke.edu/rubenstein/findingaids/trent-bergjanusantonrahbekpapers/
002169147	RL.10261	trent-bergmannernstvon	http://library.duke.edu/rubenstein/findingaids/trent-bergmannernstvon/
002119508	RL.10262	trent-bernardclaudeletters	http://library.duke.edu/rubenstein/findingaids/trent-bernardclaudeletters/
002119511	RL.10263	trent-berthelotm	http://library.duke.edu/rubenstein/findingaids/trent-berthelotm/
002119509	RL.10264	trent-bertpaul	http://library.duke.edu/rubenstein/findingaids/trent-bertpaul/
001607625	RL.10265	trent-bethunenormanpapers	http://library.duke.edu/rubenstein/findingaids/trent-bethunenormanpapers/
002130233	RL.10269	trent-biddlenicholasletters	http://library.duke.edu/rubenstein/findingaids/trent-biddlenicholasletters/
002119512	RL.10270	trent-bigelowhenryjacob	http://library.duke.edu/rubenstein/findingaids/trent-bigelowhenryjacob/
002119513	RL.10271	trent-bigelowjacob	http://library.duke.edu/rubenstein/findingaids/trent-bigelowjacob/
002130234	RL.10272	trent-billingsjohnsletters	http://library.duke.edu/rubenstein/findingaids/trent-billingsjohnsletters/
001605133	RL.10273	trent-biosjb	http://library.duke.edu/rubenstein/findingaids/trent-biosjb/
001605134	RL.10274	trent-bischoffthludwwilhpapers	http://library.duke.edu/rubenstein/findingaids/trent-bischoffthludwwilhpapers/
